"","title","description","streetaddress","type","amenityfeatures","city","state","Year","notes","full.address","lat","lon","geoAddress","unclear_address","status","unique.id"
"221","'Primrose Path'","#NAME?","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Columbia","SC",1986,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-00040"
"222","'Rest Stop'","on I-85 S. - betw. Greenville & Anderson S.C.","","Cruising Areas","Cruisy Area","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-00145"
"223","'Rest Stop'","on I-85 S.","","Cruising Areas","Cruisy Area","Gaffney","SC",1986,"",", SC",35.071795,-81.649819,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-00150"
"224","'Rest Stop'","on I-26 S.","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-00153"
"225","Battery Club","(Piano bar) Upstairs) (Rear) Cl. Mon.)","280-B Meeting St.","Bars/Clubs","(P-1965-1989),(*-1965-2005)","Charleston","SC",1986,"River St.","280-B Meeting St., Charleston, SC",32.784591,-79.9323432,"280 meeting st b, charleston, sc 29401, usa","","Google Verified Location","d-1986-00664"
"226","Carolina Book Store","","","Book Store","","Charleston","SC",1986,"St. Andrews Blvd.",", SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-01112"
"227","Carolina Book Store","","","Book Store","","Charleston","SC",1986,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-01113"
"228","Chalet IV","(Books)","5511 Two Notch Rd.","Book Store","","Columbia","SC",1986,"","5511 Two Notch Rd., Columbia, SC",34.0526299,-80.9816893,"5511 two notch rd, columbia, sc 29223, usa","","Google Verified Location","d-1986-01208"
"229","Chateau Book Store","","4343 Dorchester Rd.","Book Store","","N. Charleston","SC",1986,"","4343 Dorchester Rd., N. Charleston, SC",32.8527672,-80.0072622,"4343 dorchester rd, north charleston, sc 29405, usa","","Google Verified Location","d-1986-01236"
"230","Cheeks II","(Levis & W)","336 King St.","Bars/Clubs","(W-1972-1989)","Charleston","SC",1986,"","336 King St., Charleston, SC",32.7845789,-79.935163,"336 king st, charleston, sc 29401, usa","","Google Verified Location","d-1986-01246"
"231","Club Gemini","(Some YC, L, B)","443 E. Stone","Bars/Clubs","(P-1965-1989),(YC-1969-2005),(L-1980-1989),(B-1970-1989)","Greenville","SC",1986,"at Column","443 E. Stone, Greenville, SC",34.8601064,-82.3863194,"443 e stone ave, greenville, sc 29609, usa","","Google Verified Location","d-1986-01382"
"232","Connections","(Disco)","525 E. Bay St.","Bars/Clubs","(P-1965-1989),(D-1965-2003),(*-1965-2005)","Charleston","SC",1986,"","525 E. Bay St., Charleston, SC",32.7915609,-79.9311655,"525 e bay st, charleston, sc 29403, usa","","Google Verified Location","d-1986-01485"
"233","Evans St.","downtown","","Cruising Areas","Cruisy Area","Florence","SC",1986,"",", SC",34.195433,-79.762562,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-01989"
"234","Fantasy World","(Books, etc.)","2070 Harley Ave.","Book Store,Erotic Shop","","N. Charleston","SC",1986,"","2070 Harley Ave., N. Charleston, SC",32.8504466,-79.9869585,"2070 harvey ave, north charleston, sc 29405, usa","","Google Verified Location","d-1986-02036"
"235","Fifty Folly Place","(Bed & breakfast) (803) 571-4171","","Hotel","(H-1965-1989)","Charleston","SC",1986,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-02073"
"236","Folly Beach","","","Cruising Areas","Cruisy Area","Charleston","SC",1986,"",", SC",32.65518,-79.940367,"unclear_coded_by_hand","","Verified Location","d-1986-02124"
"237","Fortress","(Some L) (WE*)","3134 Two Notch Rd.","Bars/Clubs","(P-1965-1989),(L-1980-1989),(D-1965-2003),(S-1965-2002),(PT-1977-1989),(WE-1976-1989),(*-1965-2005)","Columbia","SC",1986,"","3134 Two Notch Rd., Columbia, SC",34.0384045,-81.0016349,"3134 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1986-02137"
"238","Gaslight Cafe","(Cruisy-AH-Sat.)","158 King St.","Restaurant,Cruising Areas","(M-1965-1989),(R-1965-1989),(AH-1975-1993)","Charleston","SC",1986,"","158 King St., Charleston, SC",32.7781107,-79.9328254,"158 king st, charleston, sc 29401, usa","","Google Verified Location","d-1986-02259"
"239","Greyhound Bus Depot","","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-02534"
"240","Hilltop Adult Bookstore","Hwy. 29 (Greer)","","Cruising Areas,Book Store","(F&S-1984-1989),Cruisy Area","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-02665"
"241","Jackson Station","U.S. 22 at U.S. 178","","Bars/Clubs","(P-1965-1989)","Hodges","SC",1986,"",", SC",34.280552,-82.236753,"unclear_coded_by_hand","","Verified Location","d-1986-02873"
"242","La Place Spa","(Bath & Gym*)","5610 Dutton Ave.","Gym,Bathhouses","(*-1965-2005)","N. Charleston","SC",1986,"","5610 Dutton Ave., N. Charleston, SC",32.8984171,-80.0105437,"5610 dutton ave, north charleston, sc 29406, usa","","Google Verified Location","d-1986-03053"
"243","M.C.C.","","1730 Gist St.","Religious Institution","(MCC)","Columbia","SC",1986,"","1730 Gist St., Columbia, SC",34.0046692,-81.0505975,"1730 gist st, columbia, sc 29201, usa","","Google Verified Location","d-1986-03379"
"244","Offshore Drilling Co.","","415 Youpon Circle","Bars/Clubs","(*-1965-2005),(S-1965-2002),(PT-1977-1989)","Myrtle Beach","SC",1986,"","415 Youpon Circle, Myrtle Beach, SC",33.6815574,-78.8930613,"415 yaupon dr, myrtle beach, sc 29577, usa","","Google Verified Location","d-1986-03910"
"245","Our Place","(Late)","1232 Assembly St.","Bars/Clubs","(*-1965-2005)","Columbia","SC",1986,"","1232 Assembly St., Columbia, SC",34.001721,-81.035244,"1232 assembly st, columbia, sc 29201, usa","","Google Verified Location","d-1986-03992"
"246","Parking lot opp. Methodist Church","","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-04113"
"247","Partners","(Disco)","925 1/2 Huger St.","Bars/Clubs","(P-1965-1989),(YC-1969-2005),(D-1965-2003),(S-1965-2002),(PT-1977-1989),(*-1965-2005)","Columbia","SC",1986,"","925 1/2 Huger St., Columbia, SC",33.9943566,-81.0443161,"925 huger st, columbia, sc 29201, usa","","Google Verified Location","d-1986-04122"
"248","Reedy River Park","(Weekday afternoons)","","Cruising Areas","Cruisy Area","Greenville","SC",1986,"",", SC",34.845011,-82.401645,"unclear_coded_by_hand","","Verified Location","d-1986-04465"
"249","Sheraton Motor Inn","T-Room","","Cruising Areas","Cruisy Area","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-04794"
"250","South of the Border Motel Bar","6 mi. N. on I-95","","Bars/Clubs","(M-1965-1989)","Dillon","SC",1986,"",", SC",34.499623,-79.307758,"unclear_coded_by_hand","","Verified Location","d-1986-04901"
"251","St. Joan of Arc M.C.C.","","69 Cannon St.","Religious Institution","(MCC)","Charleston","SC",1986,"","69 Cannon St., Charleston, SC",32.789862,-79.9449102,"69 cannon st, charleston, sc 29403, usa","","Google Verified Location","d-1986-04950"
"252","Stone Castle","(Disco)","8 Le Grand","Bars/Clubs","(P-1965-1989),(YC-1969-2005),(D-1965-2003),(*-1965-2005)","Greenville","SC",1986,"","8 Le Grand, Greenville, SC",34.8361438,-82.3681104,"8 legrand blvd, greenville, sc 29607, usa","","Google Verified Location","d-1986-05009"
"253","The Battery","Whitepoint Gardens","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Charleston","SC",1986,"",", SC",32.769936,-79.930361,"unclear_coded_by_hand","","Verified Location","d-1986-05179"
"254","The Pavilion","Ocean Beach - summers","","Cruising Areas","Cruisy Area","Myrtle Beach","SC",1986,"",", SC",33.692441,-78.881687,"unclear_coded_by_hand","","Verified Location","d-1986-05242"
"255","Timrod Park","","","Cruising Areas","Cruisy Area","Florence","SC",1986,"",", SC",34.185242,-79.770835,"unclear_coded_by_hand","","Verified Location","d-1986-05290"
"256","Tradewinds","(Opening Spring '85) (Should click)","1063 Morrison Dr.","Bars/Clubs","","Charleston","SC",1986,"","1063 Morrison Dr., Charleston, SC",32.8092528,-79.9457045,"1063 morrison dr, charleston, sc 29403, usa","","Google Verified Location","d-1986-05356"
"257","Trailways Bus Depot","(Parking lot) (opp. Club Gemini)","","Cruising Areas","(*-1965-2005),Cruisy Area","Greenville","SC",1986,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-05367"
"258","Truck Stops of America","","","Cruising Areas","Cruisy Area","Spartanburg","SC",1986,"",", SC",34.949567,-81.932048,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-05410"
"259","U. of S.C.","pool","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1986-05502"
"260","U. of S.C.","McKissick Library","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1986-05503"
"261","U. of S.C.","Russel House","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1986-05504"
"262","U. of S.C.","Blatt P.E.","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1986-05505"
"263","U. of S.C.","lockers","","Cruising Areas","Cruisy Area","Columbia","SC",1986,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1986-05506"
"264","Venus Pancake House","","550 W. Palmetto","Restaurant","(M-1965-1989),(R-1965-1989),(C-1965-1989),(AH-1975-1993)","Florence","SC",1986,"","550 W. Palmetto, Florence, SC",34.1930649,-79.7766324,"550 w palmetto st, florence, sc 29501, usa","","Google Verified Location","d-1986-05624"
"265","Y.M.C.A.","","","Hotel,Cruising Areas","(M-1965-1989),(H-1965-1989)","Columbia","SC",1986,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1986-05862"
"266","'Primrose Path'","(Senate St. & grounds adj. to the Capitol) (AYOR)","","Cruising Areas","(AYOR-1977-1989),Cruisy Area","Columbia","SC",1982,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-00041"
"267","'Rest Stop'","","on I-85 S.","Cruising Areas","Cruisy Area","Gaffney","SC",1982,"","on I-85 S., SC",35.071795,-81.649819,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-00052"
"268","'Rest Stop'","(on I-26 S.)","","Cruising Areas","Cruisy Area","Columbia","SC",1982,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-00078"
"269","'Rest Stop' on I-85 S.","(betw. Greenville & Anderson S.C.)","","Cruising Areas","Cruisy Area","Greenville","SC",1982,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-00146"
"270","Aunt Clara's","(Some L)","288 Evans St.","Bars/Clubs","(D-1965-2003),(*-1965-2005),(L-1980-1989)","Florence","SC",1982,"","288 Evans St., Florence, SC",34.1970256,-79.7701435,"288 w evans st, florence, sc 29501, usa","","Google Verified Location","d-1982-00479"
"271","Chalet X Book Store","","Two Notch Rd.","Book Store,Erotic Shop","","Columbia","SC",1982,"","Two Notch Rd., Columbia, SC",34.0782296,-80.9427482,"two notch rd, columbia, sc, usa","","Google Verified Location","d-1982-01037"
"272","Club Gemini","(Some YC, L, B) (WE*)","443 E. Stone at Column","Bars/Clubs","(P-1965-1989),(YC-1969-2005),(L-1980-1989),(B-1970-1989),(WE-1976-1989),(*-1965-2005)","Greenville","SC",1982,"","443 E. Stone at Column, SC",34.860106,-82.386319,"unclear_coded_by_hand","","Verified Location","d-1982-01177"
"273","Folly Beach","","","Cruising Areas","Cruisy Area","Charleston","SC",1982,"",", SC",32.65518,-79.940367,"unclear_coded_by_hand","","Verified Location","d-1982-01763"
"274","Fortress","(S - WE*) (Some L)","3134 Two Notch Rd.","Bars/Clubs","(D-1965-2003),(PT-1977-1989),(WE-1976-1989),(L-1980-1989),(S-1965-2002),(*-1965-2005)","Columbia","SC",1982,"","3134 Two Notch Rd., Columbia, SC",34.0384031,-81.001632,"3134 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1982-01777"
"275","Greyhound Bus Dept","(AYOR)","","Cruising Areas","(AYOR-1977-1989),Cruisy Area","Greenville","SC",1982,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-02044"
"276","Jackson Station","","U.S. 22 at U.S. 178","Bars/Clubs","","Hodges","SC",1982,"Live at Jackson Station
*Music, Community, and Tragedy in a Southern Blues Bar,* by
Daniel M. Harrison

https://uscpress.com/Live-at-Jackson-Station","U.S. 22 at U.S. 178, SC",34.280552,-82.236753,"unclear_coded_by_hand","","Verified Location","d-1982-02336"
"277","Les Jardins","(Disco) (Upstairs)","36 N. Market St.","Bars/Clubs","(*-1965-2005),(P-1965-1989),(YC-1969-2005),(D-1965-2003)","Charleston","SC",1982,"","36 N. Market St., Charleston, SC",32.781415,-79.9279312,"36 n market st, charleston, sc 29401, usa","","Google Verified Location","d-1982-02595"
"278","M.C.C.","","1730 Gist St.","Religious Institution","(MCC)","Columbia","SC",1982,"","1730 Gist St., Columbia, SC",34.0046692,-81.0505975,"1730 gist st, columbia, sc 29201, usa","","Google Verified Location","d-1982-02750"
"279","McBee's","(Disco)","925 1/2 Huger St.","Bars/Clubs","(YC-1969-2005),(D-1965-2003),(S-1965-2002),(PT-1977-1989),(*-1965-2005)","Columbia","SC",1982,"","925 1/2 Huger St., Columbia, SC",33.9943566,-81.0443161,"925 huger st, columbia, sc 29201, usa","","Google Verified Location","d-1982-02876"
"280","Northside Boutique","(Books, etc.)","8056 Asheville Hwy.","Book Store","","Spartanburg","SC",1982,"","8056 Asheville Hwy., Spartanburg, SC",34.992962,-81.9939667,"8056 asheville hwy, spartanburg, sc 29303, usa","","Google Verified Location","d-1982-03139"
"281","Our Place","(Best late after liquor bars close)","1232 Assembly St.","Bars/Clubs","(*-1965-2005)","Columbia","SC",1982,"","1232 Assembly St., Columbia, SC",34.001721,-81.035244,"1232 assembly st, columbia, sc 29201, usa","","Google Verified Location","d-1982-03269"
"282","Parking lot opp. Methodist Church","(AYOR)","","Cruising Areas","(AYOR-1977-1989),Cruisy Area","Greenville","SC",1982,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-03360"
"283","Reef","(Some L)","903 S. Kings Hwy.","Bars/Clubs","(L-1980-1989)","Myrtle Beach","SC",1982,"","903 S. Kings Hwy., Myrtle Beach, SC",33.6796264,-78.8981038,"903 s kings hwy, myrtle beach, sc 29577, usa","","Google Verified Location","d-1982-03655"
"284","Reynolds Ave. nr. Naval Yard","","","Cruising Areas","Cruisy Area","Charleston","SC",1982,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-03673"
"285","Sheraton Motor Inn","(T-Room)","","Cruising Areas","Cruisy Area","Greenville","SC",1982,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-03912"
"286","South of the Border Motel Bar","","6 mi. N. on I-95","Bars/Clubs,Hotel","(M-1965-1989)","Dillon","SC",1982,"","6 mi. N. on I-95, Dillon, SC",34.4394215,-79.3787069,"i-95, dillon, sc, usa","","Google Verified Location","d-1982-03993"
"287","Stone Castle","(Disco)","200 N. Pleasantburg Dr.","Bars/Clubs","(P-1965-1989),(YC-1969-2005),(D-1965-2003),(*-1965-2005)","Greenville","SC",1982,"","200 N. Pleasantburg Dr., Greenville, SC",34.8482404,-82.3594927,"200 n pleasantburg dr, greenville, sc 29607, usa","","Google Verified Location","d-1982-04097"
"288","Streetcar","(Cruisy)","336 King St.","Cruising Areas,Bars/Clubs","(*-1965-2005)","Charleston","SC",1982,"","336 King St., Charleston, SC",32.7845789,-79.935163,"336 king st, charleston, sc 29401, usa","","Google Verified Location","d-1982-04104"
"289","Sundown Adult Books & Mini Theatre","","3311 Two Notch Rd","Book Store,Theatre","","Columbia","SC",1982,"","3311 Two Notch Rd, Columbia, SC",34.0400667,-80.9996035,"3311 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1982-04147"
"290","The Battery","(Whitepoint Garadens)","","Cruising Areas","Cruisy Area","Charleston","SC",1982,"",", SC",32.769936,-79.930361,"unclear_coded_by_hand","","Verified Location","d-1982-04258"
"291","The Pavilion","(Ocean Beach - summers)","","Cruising Areas","Cruisy Area","Myrtle Beach","SC",1982,"",", SC",33.692441,-78.881687,"unclear_coded_by_hand","","Verified Location","d-1982-04305"
"292","Trailways Bus Depot","(Parking lot) (Opp. Club Gemini)","","Cruising Areas","(*-1965-2005),Cruisy Area","Greenville","SC",1982,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-04409"
"293","Trucks Stops of America","","I-85","Cruising Areas","Cruisy Area","Spartanburg","SC",1982,"","I-85, SC",34.949567,-81.932048,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-04457"
"294","U. of S.C.","(Russel House T-Room)","","Cruising Areas","Cruisy Area","Columbia","SC",1982,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1982-04540"
"295","U. of S.C.","(McKissick Library T-Room)","","Cruising Areas","Cruisy Area","Columbia","SC",1982,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1982-04541"
"296","Union Adult Boutique","","1451 Union St.","Erotic Shop","","Spartanburg","SC",1982,"","1451 Union St., Spartanburg, SC",34.9291948,-81.8930876,"1451 union st, spartanburg, sc 29302, usa","","Google Verified Location","d-1982-04593"
"297","Venus Pancake House","","550 W. Palmetto","Restaurant","(M-1965-1989),(R-1965-1989),(C-1965-1989),(AH-1975-1993)","Florence","SC",1982,"","550 W. Palmetto, Florence, SC",34.1930649,-79.7766324,"550 w palmetto st, florence, sc 29501, usa","","Google Verified Location","d-1982-04640"
"298","Vicinity of Wade Hampton Hotel","","","Cruising Areas","Cruisy Area","Columbia","SC",1982,"",", SC",34.001321,-81.033563,"unclear_coded_by_hand","","Verified Location","d-1982-04652"
"299","White House","(Disco) (Cl. Sun.)","Hwy. 501, 1/2mi. E. of Int. Waterway","Bars/Clubs","(D-1965-2003),(S-1965-2002),(PT-1977-1989),(*-1965-2005)","Myrtle Beach","SC",1982,"","Hwy. 501, 1/2mi. E. of Int. Waterway, Myrtle Beach, SC",33.6890603,-78.8866943,"myrtle beach, sc, usa","","Google Verified Location","d-1982-04761"
"300","Y.M.C.A.","","","Hotel,Cruising Areas","(M-1965-1989),(H-1965-1989),Cruisy Area","Columbia","SC",1982,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1982-04831"
"301","'Primrose Path'","Senate St. & grounds adj. to the Capitol","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Columbia","SC",1983,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-00052"
"302","'Rest Stop'","","I-85 S.","Cruising Areas","Cruisy Area","Gaffney","SC",1983,"","I-85 S., SC",35.071795,-81.649819,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-00075"
"303","'Rest Stop'","betw. Greenville & Anderson S.C.","I-85 S.","Cruising Areas","Cruisy Area","Greenville","SC",1983,"","I-85 S., SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-00133"
"304","'Rest Stop'","on 1-26 S.","","Cruising Areas","Cruisy Area","Columbia","SC",1983,"",", SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-00175"
"305","Chalet X Book Store","","Two Notch Rd.","Book Store,Erotic Shop","","Columbia","SC",1983,"","Two Notch Rd., SC",34.00071,-81.034814,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-01085"
"306","Club Gemini","(Some YC, L, B)","443 E. Stone at Column","Bars/Clubs","(P-1965-1989),(*-1965-2005),(B-1970-1989),(L-1980-1989),(YC-1969-2005)","Greenville","SC",1983,"","443 E. Stone at Column, SC",34.860106,-82.386319,"unclear_coded_by_hand","","Verified Location","d-1983-01246"
"307","Evans St.","downtown","","Cruising Areas","Cruisy Area","Florence","SC",1983,"",", SC",34.195433,-79.762562,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-01794"
"308","Folly Beach","","","Cruising Areas","Cruisy Area","Charleston","SC",1983,"",", SC",32.65518,-79.940367,"unclear_coded_by_hand","","Verified Location","d-1983-01896"
"309","Fortress","(S- WE*)(Some L)","3134 Two Notch Rd.","Bars/Clubs","(D-1965-2003),(PT-1977-1989),(S-1965-2002),(WE-1976-1989),(L-1980-1989),(*-1965-2005)","Columbia","SC",1983,"","3134 Two Notch Rd., Columbia, SC",34.0384031,-81.001632,"3134 two notch rd, columbia, sc 29204, usa","","Google Verified Location","d-1983-01909"
"310","Frannie's","(Disco)","11 Fulton St.","Bars/Clubs","(L-1980-1989),(D-1965-2003)","Charleston","SC",1983,"","11 Fulton St., Charleston, SC",32.7795182,-79.9339892,"11 fulton st, charleston, sc 29401, usa","","Google Verified Location","d-1983-01930"
"311","Greyhound Bus Depot","","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Greenville","SC",1983,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-02235"
"312","Jackie's Expresso","","18 Pinckney St.","Restaurant","(M-1965-1989),(R-1965-1989)","Charleston","SC",1983,"","18 Pinckney St., Charleston, SC",32.7824915,-79.9286921,"18 pinckney st, charleston, sc 29401, usa","","Google Verified Location","d-1983-02538"
"313","Jackson Station","","U.S. 22 at U.S. 178","Bars/Clubs","","Hodges","SC",1983,"","U.S. 22 at U.S. 178, SC",34.280552,-82.236753,"unclear_coded_by_hand","","Verified Location","d-1983-02539"
"314","Lambda","(803) 577-2743","P.O. Box 772, Charleston, S.C.","Organization","","Charleston","SC",1983,"","P.O. Box 772, Charleston, S.C., SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-02737"
"315","Les Jardins","(Some M, YC, B)(Disco)(Upstairs)","36 N. Market St.","Bars/Clubs","(*-1965-2005),(P-1965-1989),(M-1965-1989),(YC-1969-2005),(B-1970-1989),(D-1965-2003)","Charleston","SC",1983,"","36 N. Market St., Charleston, SC",32.781415,-79.9279312,"36 n market st, charleston, sc 29401, usa","","Google Verified Location","d-1983-02820"
"316","M.C.C.","","1730 Gist St.","Religious Institution","(MCC)","Columbia","SC",1983,"","1730 Gist St., Columbia, SC",34.0046692,-81.0505975,"1730 gist st, columbia, sc 29201, usa","","Google Verified Location","d-1983-02996"
"317","M.C.C.","","P.O. Box 71561, Charleston, S.C. 29405","Religious Institution","(MCC)","Charleston","SC",1983,"","P.O. Box 71561, Charleston, S.C. 29405, SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-03017"
"318","McBee's","(Disco)","925 1/2 Huger St.","Bars/Clubs","(YC-1969-2005),(D-1965-2003),(S-1965-2002),(PT-1977-1989),(*-1965-2005)","Columbia","SC",1983,"","925 1/2 Huger St., Columbia, SC",33.9943566,-81.0443161,"925 huger st, columbia, sc 29201, usa","","Google Verified Location","d-1983-03146"
"319","Our Place","(Late)","1232 Assembly St.","Bars/Clubs","(*-1965-2005)","Columbia","SC",1983,"","1232 Assembly St., Columbia, SC",34.001721,-81.035244,"1232 assembly st, columbia, sc 29201, usa","","Google Verified Location","d-1983-03552"
"320","Parking lot","opp. Methodist Church","","Cruising Areas","Cruisy Area,(AYOR-1977-1989)","Greenville","SC",1983,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-03660"
"321","Reynolds Ave.","nr. Naval Yard","","Cruising Areas","Cruisy Area","Charleston","SC",1983,"",", SC",32.776475,-79.931051,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-04008"
"322","Sheraton Motor Inn","T-Room","","Cruising Areas","Cruisy Area","Greenville","SC",1983,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-04275"
"323","South of the Border Motel Bar","6 mi. N.","I-95","Bars/Clubs,Hotel","(M-1965-1989)","Dillon","SC",1983,"","I-95, SC",34.499623,-79.307758,"unclear_coded_by_hand","","Verified Location","d-1983-04368"
"324","Stone Castle","(Disco)","200 N. Pleasantburg Dr.","Bars/Clubs","(*-1965-2005),(D-1965-2003),(YC-1969-2005),(P-1965-1989)","Greenville","SC",1983,"","200 N. Pleasantburg Dr., Greenville, SC",34.8482404,-82.3594927,"200 n pleasantburg dr, greenville, sc 29607, usa","","Google Verified Location","d-1983-04469"
"325","Streetcar","(Cruisy)","336 King St.","Bars/Clubs,Cruising Areas","(*-1965-2005)","Charleston","SC",1983,"","336 King St., Charleston, SC",32.7845789,-79.935163,"336 king st, charleston, sc 29401, usa","","Google Verified Location","d-1983-04479"
"326","Tango","(Disco)","81 Society St.","Bars/Clubs,Restaurant","(YC-1969-2005),(D-1965-2003),(R-1965-1989),(AH-1975-1993),(*-1965-2005)","Charleston","SC",1983,"","81 Society St., Charleston, SC",32.7833089,-79.9334668,"81 society st, charleston, sc 29401, usa","","Google Verified Location","d-1983-04581"
"327","The Battery","Whitepoint Gardens","","Cruising Areas","Cruisy Area","Charleston","SC",1983,"",", SC",32.769936,-79.930361,"unclear_coded_by_hand","","Verified Location","d-1983-04627"
"328","The Pavilion","Ocean Beach - summers","","Cruising Areas","Cruisy Area","Myrtle Beach","SC",1983,"",", SC",33.692441,-78.881687,"unclear_coded_by_hand","","Verified Location","d-1983-04673"
"329","Timrod Park","","","Cruising Areas","Cruisy Area","Florence","SC",1983,"",", SC",34.185242,-79.770835,"unclear_coded_by_hand","","Verified Location","d-1983-04729"
"330","Trailways Bus Depot","(Parking lot) (Opp. Club Gemini)","","Cruising Areas","Cruisy Area,(*-1965-2005)","Greenville","SC",1983,"",", SC",34.852618,-82.39401,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-04797"
"331","Truck Stops of America","","I-85","Cruising Areas","Cruisy Area","Spartanburg","SC",1983,"","I-85, SC",34.949567,-81.932048,"unclear_coded_by_hand","","Location could not be verified. General city or location coordinates used.","d-1983-04839"
"332","U. of S.C.","(T-Rooms) (Russel House & McKissick Library)","","Cruising Areas","Cruisy Area","Columbia","SC",1983,"",", SC",33.996645,-81.026995,"unclear_coded_by_hand","","Verified Location","d-1983-04933"
